"","title","organism","platform","source"
"GSM565136","WT_rep_1","Mus musculus","GPL1261","WT C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565137","WT_rep_2","Mus musculus","GPL1261","WT C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565138","WT_rep_3","Mus musculus","GPL1261","WT C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565139","WT_rep_4","Mus musculus","GPL1261","WT C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565140","WT_rep_5","Mus musculus","GPL1261","WT C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565141","RKO_rep_1","Mus musculus","GPL1261","Ager/Rage null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565142","RKO_rep_2","Mus musculus","GPL1261","Ager/Rage null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565143","RKO_rep_3","Mus musculus","GPL1261","Ager/Rage null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565144","RKO_rep_4","Mus musculus","GPL1261","Ager/Rage null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565145","RKO_rep_5","Mus musculus","GPL1261","Ager/Rage null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565146","RKO_rep_6","Mus musculus","GPL1261","Ager/Rage null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565147","MKO_rep_1","Mus musculus","GPL1261","Myd88 null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565148","MKO_rep_2","Mus musculus","GPL1261","Myd88 null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565149","MKO_rep_3","Mus musculus","GPL1261","Myd88 null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565150","MKO_rep_4","Mus musculus","GPL1261","Myd88 null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565151","MRKO_rep_1","Mus musculus","GPL1261","Ager/Rage null/Myd88 null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565152","MRKO_rep_2","Mus musculus","GPL1261","Ager/Rage null/Myd88 null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565153","MRKO_rep_3","Mus musculus","GPL1261","Ager/Rage null/Myd88 null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
"GSM565154","MRKO_rep_4","Mus musculus","GPL1261","Ager/Rage null/Myd88 null C57BL/6 mice, liver, 10-12 weeks old, sacrificed 2 hours after 85% liver resection"
